identifier	name	participants	participatingComplex	pubMedIdentifiers
R-HSA-202345	"phospho tyrosine ZAP-70 [plasma membrane]"	uniprot:P43403|uniprot:P01730|uniprot:P20036|uniprot:P01909|uniprot:P01903|uniprot:P01906|uniprot:P13760|uniprot:Q30134|uniprot:P20039|uniprot:P01912|uniprot:P01920|uniprot:P79483|uniprot:Q9TQE0|uniprot:P01911|uniprot:P05538|uniprot:P04440|uniprot:Q30167|uniprot:Q30154|uniprot:Q5Y7A7|uniprot:P13762|uniprot:Q9GIY3|uniprot:Q95IE3|uniprot:Q29974|uniprot:P04229|uniprot:P13761|uniprot:P07766|uniprot:P04234|uniprot:P01733|uniprot:P04435|uniprot:P01850|uniprot:P01737|uniprot:P04437|uniprot:A0A0A6YYK7|uniprot:P01848|uniprot:P09693|uniprot:P20963-1|uniprot:P06239	R-HSA-203494|R-HSA-203463|R-HSA-2213189|R-HSA-203493|R-HSA-202336|R-HSA-198183|R-HSA-202167|R-HSA-202303	10202147|8520027|9850860
R-HSA-202349	"CARMA1 bound to PDK1 [plasma membrane]"	uniprot:Q9BXL7|uniprot:O15530|chebi:16152|chebi:16618	R-HSA-202311	15541657|17468049|15122200
R-HSA-202359	"ITK:p-Y113,128,145-SLP-76:GADS:LAT [plasma membrane]"	uniprot:O75791|uniprot:O43561|uniprot:Q13094|uniprot:Q08881	R-HSA-202162|R-HSA-202177	17652306
R-HSA-2023661	"PLOD3:Fe2+ dimer:Glucosyl-galactosyl-hydroxylysyl collagen propeptides [endoplasmic reticulum membrane]"	uniprot:O60568|chebi:29033|uniprot:A8TX70|uniprot:Q96A83|uniprot:P02452|uniprot:P12111|uniprot:Q8IZC6|uniprot:Q5TAT6|uniprot:Q05707|uniprot:Q9P218|uniprot:Q17RW2|uniprot:P27658|uniprot:Q8NFW1|uniprot:Q07092|uniprot:P39060|uniprot:Q86Y22|uniprot:P12107|uniprot:P12109|uniprot:P25067|uniprot:P08123|uniprot:Q9UMD9|uniprot:Q14993|uniprot:Q9BXS0|uniprot:Q03692|uniprot:P13942|uniprot:Q99715|uniprot:Q96P44|uniprot:Q14050|uniprot:Q01955|uniprot:P39059|uniprot:Q2UY09|uniprot:P02461|uniprot:P20849|uniprot:Q02388|uniprot:P02458|uniprot:Q14055|uniprot:P08572|uniprot:P29400|uniprot:P05997|uniprot:P25940|uniprot:Q14031|uniprot:P53420|uniprot:P12110|uniprot:P20908|uniprot:P02462|uniprot:A6NMZ7	R-HSA-1981148	12475640|10934207|19075007
R-HSA-2023848	"ITPKC:Ca2+:CALM1 [cytosol]"	chebi:29108|uniprot:Q96DU7|uniprot:P0DP23	-	-
R-HSA-2023849	"ITPKB:Ca2+:CALM1 [cytosol]"	chebi:29108|uniprot:P27987|uniprot:P0DP23	-	-
R-HSA-2023852	"PLCD3:Ca2+ [plasma membrane]"	uniprot:Q8N3E9|chebi:29108	-	-
R-HSA-2023858	"PLCG1:Ca2+ [plasma membrane]"	uniprot:P19174|chebi:29108	-	-
R-HSA-2023865	"PLCE1:Ca2+ [plasma membrane]"	chebi:29108|uniprot:Q9P212	-	-
R-HSA-2023868	"PLCH2:Ca2+ [plasma membrane]"	uniprot:O75038|chebi:29108	-	-
R-HSA-2023869	"PLD4:Ca2+ [endoplasmic reticulum membrane]"	chebi:29108|uniprot:Q96BZ4	-	-
R-HSA-2023873	"PLCD1:Ca2+ [plasma membrane]"	uniprot:P51178|chebi:29108	-	-
R-HSA-2023879	"PLCH1:Ca2+ [plasma membrane]"	chebi:29108|uniprot:Q4KWH8	-	-
R-HSA-2023881	"PLCG2:Ca2+ [plasma membrane]"	chebi:29108|uniprot:P16885	-	-
R-HSA-2023885	"ITPKA:Ca2+:CALM1 [cytosol]"	chebi:29108|uniprot:P23677|uniprot:P0DP23	-	-
R-HSA-2024021	"IMPA1 dimer [cytosol]"	chebi:18420|uniprot:P29218	R-HSA-1604570	-
R-HSA-2024023	"IMPA2 dimer [cytosol]"	uniprot:O14732|chebi:18420	R-HSA-1604574	-
R-HSA-2024052	"ISYNA1:NAD+ [cytosol]"	chebi:57540|uniprot:Q9NPH2	-	-
R-HSA-202440	"Activated CARMA1 [plasma membrane]"	uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7	R-HSA-202311	17468049|16356853
R-HSA-202442	"Active PKC theta bound to DAG [plasma membrane]"	chebi:18035|uniprot:Q04759	-	16978534|12473184
R-HSA-202445	"CARMA1 trimer [plasma membrane]"	uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7	R-HSA-202311	15541657
R-HSA-202454	"Bcl10 bound to CARMA1 [plasma membrane]"	uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7	R-HSA-202445|R-HSA-202311	17468049|15122200
R-HSA-202456	"Ub-TRAF6 trimer bound to CBM complex [plasma membrane]"	uniprot:Q9UDY8|uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7|uniprot:Q9Y4K3	R-HSA-202468|R-HSA-202487|R-HSA-202475|R-HSA-202445|R-HSA-202311	17135271
R-HSA-202463	"UBE2N:UBE2V1 [cytosol]"	uniprot:P61088|uniprot:Q13404	-	17135271|20038579|17997719|15361868|17675297|19136968|17728323|18180283|16884718|19022706|18326498|22069318|18724939|18347055|18710948|11057907|17047224
R-HSA-202468	"MALT1 trimer bound to Bcl10 and CARMA1 trimer [plasma membrane]"	uniprot:Q9UDY8|uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7	R-HSA-202487|R-HSA-202475|R-HSA-202445|R-HSA-202311	15125833
R-HSA-202471	"TRAF6 trimer bound to CBM complex [plasma membrane]"	uniprot:Q9UDY8|uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7|uniprot:Q9Y4K3	R-HSA-202468|R-HSA-202487|R-HSA-202475|R-HSA-202445|R-HSA-202311	15125833
R-HSA-202475	"Bcl10 trimer bound to CARMA1 trimer [plasma membrane]"	uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7	R-HSA-202445|R-HSA-202311	15122200
R-HSA-202480	"Phosphorylated Bcl10 bound to CARMA1 and RIP2 [plasma membrane]"	uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7	R-HSA-202445|R-HSA-202311	17468049
R-HSA-202487	"MALT1 trimer [cytosol]"	uniprot:Q9UDY8	-	-
R-HSA-202504	"TAB2/TAK1 complex [cytosol]"	uniprot:O43318|uniprot:Q9NYJ8	-	-
R-HSA-202507	"TAK1/TAB2 complex bound to TRAF6/CBM complex [plasma membrane]"	uniprot:Q9NYJ8|uniprot:O43318|uniprot:Q9UDY8|uniprot:O95999|uniprot:O15530|chebi:16152|chebi:16618|uniprot:Q9BXL7|uniprot:Q9Y4K3	R-HSA-202516|R-HSA-202456|R-HSA-202468|R-HSA-202487|R-HSA-202475|R-HSA-202445|R-HSA-202311	15125833|17496917|16056267
R-HSA-202513	"p-S177,S181-IKKB:IKKA:NEMO [cytosol]"	uniprot:O14920|uniprot:O15111|uniprot:Q9Y6K9	-	11325957|11460167|17047224|14514672|20300203
R-HSA-202516	"phosphorylated TAK1 bound to TAB2 [cytosol]"	uniprot:Q9NYJ8|uniprot:O43318	-	-
R-HSA-202562	"p-S177,S181-IKKB:IKKA:pUb-NEMO [cytosol]"	uniprot:Q9Y6K9|uniprot:O14920|uniprot:O15111	-	17047224|19136968|17728323
R-HSA-2025669	"C-linked procollagen type I trimer [endoplasmic reticulum lumen]"	uniprot:P02452|uniprot:P08123	-	171650|22001560|710450|710449|1867713
R-HSA-2025749	"C-linked procollagen alpha-1(IV)X2 alpha-2(IV) trimer [endoplasmic reticulum lumen]"	uniprot:P02462|uniprot:P08572	-	-
R-HSA-2025751	"C-linked procollagen alpha-5(IV)X2 alpha-6(IV) trimer [endoplasmic reticulum lumen]"	uniprot:Q14031|uniprot:P29400	-	-
R-HSA-2025752	"C-linked procollagen alpha-1(V)X2 alpha-2(V) trimer [endoplasmic reticulum lumen]"	uniprot:P05997|uniprot:P20908	-	-
R-HSA-2025758	"C-linked procollagen alpha-3(IV), alpha-4(IV) alpha-5(IV) trimer [endoplasmic reticulum lumen]"	uniprot:P53420|uniprot:Q01955|uniprot:P29400	-	-
R-HSA-2025759	"C-linked procollagen type VII trimer [endoplasmic reticulum lumen]"	uniprot:Q02388	-	171650|22001560|710450|710449|1867713
R-HSA-2025762	"C-linked procollagen type II trimer [endoplasmic reticulum lumen]"	uniprot:P02458	-	171650|22001560|710450|710449|1867713
R-HSA-2025766	"C-linked procollagen type III trimer [endoplasmic reticulum lumen]"	uniprot:P02461	-	171650|22001560|710450|710449|1867713
R-HSA-2025768	"C-linked procollagen alpha-3(V) trimer [endoplasmic reticulum lumen]"	uniprot:P25940	-	-
R-HSA-2025770	"C-linked procollagen type VI trimer [endoplasmic reticulum lumen]"	uniprot:A6NMZ7|uniprot:A8TX70|uniprot:P12111|uniprot:P12109|uniprot:P12110	-	171650|22001560|710450|710449|1867713
R-HSA-2025772	"C-linked procollagen alpha-1-3(V) propeptide trimer [endoplasmic reticulum lumen]"	uniprot:P25940|uniprot:P05997|uniprot:P20908	-	-
R-HSA-2025899	"Calcineurin:p-NFATC1,2,3 [cytosol]"	chebi:29108|uniprot:P63098|chebi:29105|chebi:29034|uniprot:P16298|uniprot:Q08209|uniprot:P0DP23|uniprot:Q13469|uniprot:Q12968|uniprot:O95644	R-HSA-2025947|R-HSA-2025950|R-HSA-2026003|R-HSA-2025949|R-HSA-74294	8799126|10860980|8631904|9727000|8576111
R-HSA-2025947	"Calcineurin:Calmodulin (CaN:CaM) [cytosol]"	chebi:29108|uniprot:P63098|chebi:29105|chebi:29034|uniprot:P16298|uniprot:Q08209|uniprot:P0DP23	R-HSA-2025950|R-HSA-2026003|R-HSA-2025949|R-HSA-74294	22100452|11015619|18296442|11123943
R-HSA-2025949	"PPP3CA,B:Fe3+:Zn2+ [cytosol]"	chebi:29105|chebi:29034|uniprot:P16298|uniprot:Q08209	-	-
R-HSA-2025950	"Calcineurin alpha regulatory subunit:Calcium [cytosol]"	chebi:29108|uniprot:P63098	-	-
R-HSA-2025977	"Calcineurin (CaN) [cytosol]"	chebi:29105|chebi:29034|uniprot:P16298|uniprot:Q08209|uniprot:P63098	R-HSA-2025949	-
R-HSA-2026003	"PPP3CA,B:Calmodulin [cytosol]"	chebi:29105|chebi:29034|uniprot:P16298|uniprot:Q08209|uniprot:P0DP23|chebi:29108	R-HSA-2025949|R-HSA-74294	-
R-HSA-2026008	"Cyclophilin A:Cyclosporin A [cytosol]"	uniprot:P62937|iuphar:1024	-	12218175
R-HSA-2026019	"FKBP1A:tacrolimus [cytosol]"	uniprot:P62942|iuphar:6784	-	8524402|1715244|30294901|2445721
R-HSA-2026077	"PPARG:Fatty Acid Ligand [nucleoplasm]"	chebi:8228|chebi:34154|chebi:50122|chebi:34496|uniprot:P37231	-	-
R-HSA-2026078	"Activated PPARG:RXRA [nucleoplasm]"	uniprot:P19793|chebi:8228|chebi:34154|chebi:50122|chebi:34496|uniprot:P37231	R-HSA-2026077	-
R-HSA-2026090	"FABP4:Ligands of PPARG [nucleoplasm]"	uniprot:P15090|chebi:8228|chebi:34154|chebi:50122|chebi:34496	-	-
R-HSA-202640	"BMPRII:BMPRI [plasma membrane]"	uniprot:O00238|uniprot:P36894|uniprot:Q13873|uniprot:P27037|uniprot:Q13705	R-HSA-201428|R-HSA-201465	11714695|16672363|10712517
R-HSA-202644	"I-SMAD:p-2S-SMAD1/5/8 [cytosol]"	uniprot:O43541|uniprot:O15105|uniprot:Q99717|uniprot:O15198|uniprot:Q15797	-	9436979
R-HSA-202676	"PIP3:RhoA [plasma membrane]"	uniprot:P61586|chebi:16618	-	17245604|23669310|7954816
R-HSA-2026984	"FABP1:ligands of PPARA [nucleoplasm]"	uniprot:P07148|chebi:15756|chebi:28364|chebi:27432|chebi:17351|chebi:15843	-	-
R-HSA-202708	"Integrin alpha5beta1:FN1 dimer [plasma membrane]"	uniprot:P02751|chebi:29035|uniprot:P08648|uniprot:P05556	R-HSA-266103|R-HSA-202730	8314844|7587632|7626807|1532572|10801899|16258728|8565074|1677003|15721307|19285555|2380248|17167768|12415008|9159220|20690820
R-HSA-202716	"CEACAM heterodimer [plasma membrane]"	uniprot:P13688|uniprot:P40199|uniprot:P31997	-	17002897|17167768
R-HSA-202730	"Integrin alpha5beta1 [plasma membrane]"	uniprot:P08648|uniprot:P05556	-	16258728
R-HSA-202749	"Integrin alphaLbeta2:F11R [plasma membrane]"	uniprot:Q9Y624|uniprot:P05107|uniprot:P20701	R-HSA-198196	17525755|15528364|11812992|15681301
R-HSA-202754	"Integrin alphaMbeta2:JAM3 [plasma membrane]"	uniprot:P11215|uniprot:P05107|uniprot:Q9BX67	R-HSA-202755	17525755|17379836
R-HSA-202755	"Integrin alphaMbeta2 [plasma membrane]"	uniprot:P11215|uniprot:P05107	-	-
R-HSA-202759	"integrin alpha4beta1:JAM2:JAM3 [plasma membrane]"	uniprot:P13612|uniprot:P05556|uniprot:Q9BX67|uniprot:P57087	R-HSA-198201|R-HSA-202761	17525755|12070135
R-HSA-202761	"JAM2:JAM3 [plasma membrane]"	uniprot:Q9BX67|uniprot:P57087	-	17525755|16297198
R-HSA-202763	"F11R dimer [plasma membrane]"	uniprot:Q9Y624	-	17525755|17505016|17615384|16783819
R-HSA-202765	"Integrin alphaXbeta2:JAM3 [plasma membrane]"	uniprot:Q9BX67|uniprot:P05107|uniprot:P20702	R-HSA-202766	17525755|17625065|12208882
R-HSA-202766	"Integrin alphaXbeta2 [plasma membrane]"	uniprot:P05107|uniprot:P20702	-	-
R-HSA-202770	"MERTK:MERKT ligands [plasma membrane]"	uniprot:Q14393|uniprot:P07225|uniprot:Q12866	-	17442946|17064312|16737840
R-HSA-202774	"CD84 dimer [plasma membrane]"	uniprot:Q9UIB8	-	17563375|11564780
R-HSA-202776	"Selectins:2xSELPG [plasma membrane]"	uniprot:Q14242|uniprot:P16581|uniprot:Q96AP7|uniprot:P14151|uniprot:P16109	-	14615387|7521878|17322099
R-HSA-202780	"JAM2 dimer [plasma membrane]"	uniprot:P57087	-	17525755
R-HSA-202782	"JAM3 dimer [plasma membrane]"	uniprot:Q9BX67	-	17525755|17099249
R-HSA-202785	"PECAM1:CD177 [plasma membrane]"	uniprot:Q8N6Q3|uniprot:P16284	-	17116209|17580308
R-HSA-202787	"CD47-binding SIRPs:CD47 [plasma membrane]"	uniprot:Q9P1W8|uniprot:P78324|uniprot:Q08722	-	16691243
R-HSA-202790	"CD48:CD244 [plasma membrane]"	uniprot:Q9BZW8|uniprot:P09326	-	16585556|10764623
R-HSA-202794	"CD58:CD2 [plasma membrane]"	uniprot:P06729|uniprot:P19256	-	17172599|14529530
R-HSA-2028260	"p-STK4 dimer [cytosol]"	uniprot:Q13043	-	-
R-HSA-2028261	"p-STK3:p-SAV1 [cytosol]"	uniprot:Q9H4B6|uniprot:Q13188	R-HSA-2028281|R-HSA-2028277	16930133|15688006|15109305
R-HSA-2028264	"STK4 dimer [cytosol]"	uniprot:Q13043	-	8702870|16930133
R-HSA-2028266	"p-STK4:p-SAV1 [cytosol]"	uniprot:Q9H4B6|uniprot:Q13043	R-HSA-2028281|R-HSA-2028260	8702870|16930133|15109305
R-HSA-2028270	"STK3 dimer [cytosol]"	uniprot:Q13188	-	8702870|16930133
R-HSA-2028275	"STK3:SAV1 [cytosol]"	uniprot:Q13188|uniprot:Q9H4B6	R-HSA-2028270|R-HSA-2028279	16930133|15688006
R-HSA-2028277	"p-STK3 dimer [cytosol]"	uniprot:Q13188	-	-
R-HSA-2028279	"SAV1 dimer [cytosol]"	uniprot:Q9H4B6	-	16930133
R-HSA-2028281	"p-SAV1 dimer [cytosol]"	uniprot:Q9H4B6	-	16930133
R-HSA-2028286	"STK4:SAV1 [cytosol]"	uniprot:Q13043|uniprot:Q9H4B6	R-HSA-2028264|R-HSA-2028279	16930133
R-HSA-2028543	"LATS:p-MOB [cytosol]"	uniprot:Q9H8S9|uniprot:Q7L9L4|uniprot:Q9NRM7|uniprot:O95835	-	19739119|18328708
R-HSA-2028550	"p-LATS:p-MOB [cytosol]"	uniprot:Q9H8S9|uniprot:Q7L9L4|uniprot:O95835|uniprot:Q9NRM7	-	9545236|11278283|15688006
R-HSA-2028559	"p-LATS1:p-MOB1 [cytosol]"	uniprot:Q9H8S9|uniprot:Q7L9L4|uniprot:O95835	-	-
R-HSA-2028584	"p-LATS2:p-MOB1 [cytosol]"	uniprot:Q9H8S9|uniprot:Q7L9L4|uniprot:Q9NRM7	-	-
R-HSA-2028630	"p-YAP1:YWHAB [cytosol]"	uniprot:P46937|uniprot:P31946	R-HSA-2028645	17974916|17085597
R-HSA-2028645	"YWHAB dimer [cytosol]"	uniprot:P31946	-	16041367|21779496|11494123|8637718|16294014|12932339|17085597|12932319|24347342|11741534
R-HSA-2028649	"p-WWTR1:YWHAE [cytosol]"	uniprot:Q9GZV5|uniprot:P62258	R-HSA-194364	18227151|17085597|11118213
R-HSA-2028671	"p-STK4/N dimer [cytosol]"	uniprot:Q13043	-	-
R-HSA-2028677	"p-STK3/N dimer [cytosol]"	uniprot:Q13188	-	-
R-HSA-2028690	"p-STK3/N:p-SAV1 [cytosol]"	uniprot:Q9H4B6|uniprot:Q13188	R-HSA-2028281|R-HSA-2028677	11278283
R-HSA-2028698	"p-STK4/N:p-SAV1 [cytosol]"	uniprot:Q13043|uniprot:Q9H4B6	R-HSA-2028671|R-HSA-2028281	9545236|11278283
R-HSA-2028701	"MYO5B:RABFIP2:RAB11A [cytoplasmic vesicle membrane]"	uniprot:Q9ULV0|uniprot:P62491|chebi:15996|uniprot:Q7L804	R-HSA-1458542	-
R-HSA-2028720	"AMOT:YAP1 [cytosol]"	uniprot:P46937|uniprot:Q9Y2J4|uniprot:Q4VCS5-1|uniprot:Q8IY63	-	21224387|21187284
R-HSA-2028723	"AMOT:WWTR1 (TAZ) [cytosol]"	uniprot:Q9Y2J4|uniprot:Q4VCS5-1|uniprot:Q8IY63|uniprot:Q9GZV5	-	21224387
R-HSA-2029093	"FCGRIA:CD3G homodimer [plasma membrane]"	uniprot:P09693|uniprot:P12314	R-HSA-1861690	-
R-HSA-2029097	"FCGRIIIA:CD3G/CD3Z dimers [plasma membrane]"	uniprot:P20963-1|uniprot:P09693|uniprot:P08637	-	-
R-HSA-2029117	"FCGRIA:p-Y160,Y171-CD3G dimer [plasma membrane]"	uniprot:P09693|uniprot:P12314	R-HSA-1861560	-
R-HSA-2029118	"FCGRIIIA:p-2Y-CD3G/p-6Y-CD3Z dimers [plasma membrane]"	uniprot:P20963-1|uniprot:P09693|uniprot:P08637	-	-
R-HSA-2029120	"Dynactin [cytosol]"	uniprot:Q9UJW0|uniprot:O00399|uniprot:Q9BTE1|uniprot:Q9NZ32|uniprot:P61163|uniprot:Q96KX2|uniprot:P47756|uniprot:P47755|uniprot:P52907|uniprot:Q13561|uniprot:O75935|uniprot:Q14203	R-HSA-8982312|R-HSA-8982321|R-HSA-8982345|R-HSA-8982309|R-HSA-8982311|R-HSA-8982344|R-HSA-8982328|R-HSA-8982337|R-HSA-8982336	15738427|15473859
R-HSA-2029128	"clustered IgG-Ag:p-FCGRs [plasma membrane]"	uniprot:Q6PIL0|uniprot:P01742|uniprot:P01814|uniprot:P01766|uniprot:P01772|uniprot:P01782|uniprot:P01817|uniprot:P01767|uniprot:P01825|uniprot:P01824|uniprot:P01780|uniprot:P01762|uniprot:P01764|uniprot:P23083|uniprot:P01763|uniprot:P01743|uniprot:P06331|uniprot:A2KUC3|uniprot:P01768|uniprot:P01861|uniprot:P01857|uniprot:P01860|uniprot:P01859|uniprot:Q5NV62|uniprot:Q5NV61|uniprot:Q5NV68|uniprot:Q5NV65|uniprot:Q5NV64|uniprot:Q5NV66|uniprot:P01701|uniprot:Q5NV67|uniprot:Q5NV80|uniprot:P01709|uniprot:P01715|uniprot:Q5NV81|uniprot:P01717|uniprot:Q5NV82|uniprot:Q5NV69|uniprot:P01700|uniprot:Q5NV75|uniprot:P01721|uniprot:P01714|uniprot:Q5NV79|uniprot:Q5NV83|uniprot:Q5NV86|uniprot:P80748|uniprot:Q5NV89|uniprot:P01703|uniprot:Q5NV92|uniprot:Q5NV90|uniprot:Q5NV84|uniprot:P04211|uniprot:Q5NV91|uniprot:Q5NV85|uniprot:Q5NV87|uniprot:P01699|uniprot:P01705|uniprot:P01718|uniprot:P01706|uniprot:P01704|uniprot:P0CF74|uniprot:P0CG04|uniprot:P0DOY2|uniprot:P0DOY3|uniprot:A0M8Q6|uniprot:P01834|uniprot:P06312|uniprot:P01619|uniprot:P01615|uniprot:P01601|uniprot:P01614|uniprot:A0A0C4DH25|uniprot:A2NXD2|uniprot:P01611|uniprot:P01593|uniprot:P06310|uniprot:P01624|uniprot:P04432|uniprot:A0A0C4DH73|uniprot:P04433|uniprot:A0A075B6S6|uniprot:P01597|uniprot:P01599|uniprot:A0A075B6P5|uniprot:P04430|uniprot:P01602|uniprot:P06315|uniprot:P01594|uniprot:A2NJV5|uniprot:P20963-1|uniprot:P09693|uniprot:P08637|uniprot:P12314|uniprot:P12318	R-HSA-173552|R-HSA-182629|R-HSA-1591203	16921024|7521687|8327512|8132624|12508114|8405229|1372004|9000504|8408660|11698501|10684859|7535819|10861086|8258691
R-HSA-2029129	"clustered IgG-Ag:p-FCGRs:SYK [plasma membrane]"	uniprot:Q6PIL0|uniprot:P01742|uniprot:P01814|uniprot:P01766|uniprot:P01772|uniprot:P01782|uniprot:P01817|uniprot:P01767|uniprot:P01825|uniprot:P01824|uniprot:P01780|uniprot:P01762|uniprot:P01764|uniprot:P23083|uniprot:P01763|uniprot:P01743|uniprot:P06331|uniprot:A2KUC3|uniprot:P01768|uniprot:P01861|uniprot:P01857|uniprot:P01860|uniprot:P01859|uniprot:Q5NV62|uniprot:Q5NV61|uniprot:Q5NV68|uniprot:Q5NV65|uniprot:Q5NV64|uniprot:Q5NV66|uniprot:P01701|uniprot:Q5NV67|uniprot:Q5NV80|uniprot:P01709|uniprot:P01715|uniprot:Q5NV81|uniprot:P01717|uniprot:Q5NV82|uniprot:Q5NV69|uniprot:P01700|uniprot:Q5NV75|uniprot:P01721|uniprot:P01714|uniprot:Q5NV79|uniprot:Q5NV83|uniprot:Q5NV86|uniprot:P80748|uniprot:Q5NV89|uniprot:P01703|uniprot:Q5NV92|uniprot:Q5NV90|uniprot:Q5NV84|uniprot:P04211|uniprot:Q5NV91|uniprot:Q5NV85|uniprot:Q5NV87|uniprot:P01699|uniprot:P01705|uniprot:P01718|uniprot:P01706|uniprot:P01704|uniprot:P0CF74|uniprot:P0CG04|uniprot:P0DOY2|uniprot:P0DOY3|uniprot:A0M8Q6|uniprot:P01834|uniprot:P06312|uniprot:P01619|uniprot:P01615|uniprot:P01601|uniprot:P01614|uniprot:A0A0C4DH25|uniprot:A2NXD2|uniprot:P01611|uniprot:P01593|uniprot:P06310|uniprot:P01624|uniprot:P04432|uniprot:A0A0C4DH73|uniprot:P04433|uniprot:A0A075B6S6|uniprot:P01597|uniprot:P01599|uniprot:A0A075B6P5|uniprot:P04430|uniprot:P01602|uniprot:P06315|uniprot:P01594|uniprot:A2NJV5|uniprot:P20963-1|uniprot:P09693|uniprot:P08637|uniprot:P12314|uniprot:P12318|uniprot:P43405	R-HSA-2029128|R-HSA-173552|R-HSA-182629|R-HSA-1591203	8340414|7530449|18021750|18818202|9314552|7522622|8862523|8226994
R-HSA-2029130	"CRKII:DOCK180:ELMO complex recruited to phagocytic cup [plasma membrane]"	uniprot:Q6PIL0|uniprot:P01742|uniprot:P01814|uniprot:P01766|uniprot:P01772|uniprot:P01782|uniprot:P01817|uniprot:P01767|uniprot:P01825|uniprot:P01824|uniprot:P01780|uniprot:P01762|uniprot:P01764|uniprot:P23083|uniprot:P01763|uniprot:P01743|uniprot:P06331|uniprot:A2KUC3|uniprot:P01768|uniprot:P01861|uniprot:P01857|uniprot:P01860|uniprot:P01859|uniprot:Q5NV62|uniprot:Q5NV61|uniprot:Q5NV68|uniprot:Q5NV65|uniprot:Q5NV64|uniprot:Q5NV66|uniprot:P01701|uniprot:Q5NV67|uniprot:Q5NV80|uniprot:P01709|uniprot:P01715|uniprot:Q5NV81|uniprot:P01717|uniprot:Q5NV82|uniprot:Q5NV69|uniprot:P01700|uniprot:Q5NV75|uniprot:P01721|uniprot:P01714|uniprot:Q5NV79|uniprot:Q5NV83|uniprot:Q5NV86|uniprot:P80748|uniprot:Q5NV89|uniprot:P01703|uniprot:Q5NV92|uniprot:Q5NV90|uniprot:Q5NV84|uniprot:P04211|uniprot:Q5NV91|uniprot:Q5NV85|uniprot:Q5NV87|uniprot:P01699|uniprot:P01705|uniprot:P01718|uniprot:P01706|uniprot:P01704|uniprot:P0CF74|uniprot:P0CG04|uniprot:P0DOY2|uniprot:P0DOY3|uniprot:A0M8Q6|uniprot:P01834|uniprot:P06312|uniprot:P01619|uniprot:P01615|uniprot:P01601|uniprot:P01614|uniprot:A0A0C4DH25|uniprot:A2NXD2|uniprot:P01611|uniprot:P01593|uniprot:P06310|uniprot:P01624|uniprot:P04432|uniprot:A0A0C4DH73|uniprot:P04433|uniprot:A0A075B6S6|uniprot:P01597|uniprot:P01599|uniprot:A0A075B6P5|uniprot:P04430|uniprot:P01602|uniprot:P06315|uniprot:P01594|uniprot:A2NJV5|uniprot:P20963-1|uniprot:P09693|uniprot:P08637|uniprot:P12314|uniprot:P12318|uniprot:P43405|uniprot:Q92556|uniprot:Q96JJ3|uniprot:P46108|uniprot:Q14185	R-HSA-2029158|R-HSA-2029128|R-HSA-173552|R-HSA-182629|R-HSA-1591203|R-HSA-2029141	8657152|17308335|12134158|16472672|11595183
